Nr.;SM Nr.;Fund Nr.;Gefäss Nr.;Masken Nr.;Kartonage Nr.;Grab;Umgebung;Areal;Raum;Abhub;Schnitt/Quadrant;Position/Befund;Befund Vergesellschaftung;Befund Kommentar;Material;Material Zusatz;Objekttyp;Objekttyp Zusatz;Dekoration;Objektbeschreibung;Aufschrift;Datierung 1;Datierung 2;Höhe (cm);Breite (cm);Tiefe (cm);Durchmesser 1 (cm), rim;Durchmesser 2 (cm), body;Brandspuren;Feuchtigkeit;Zeichnung
;40E_bk_047;;40-268;;;40;;;E;1;F3;;40E_bk_005& 40E_bk_034;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Henut-tau;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_048;;40-345;;;40;;;E;1;F3;;40E_bk_029& 40E_bk_062;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_049;;40-316;;;40;;;E;1;D2;;40E_bk_006& 40E_bk_082;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Tiy;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_050;;;;;40;;;E;1;D1;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_051;;;;;40;;;E;1;D2;;40E_bk_035;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter Pipuia;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_054;;;;;40;;;E;1;F3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_056;;;;;40;;;E;1;D3;;40E_bk_028;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Pipuia;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_058;;;;;40;;;E;1;D3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_059;;;;;40;;;E;1;F3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_060;;;;;40;;;E;1;F3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_062;;40-345;;;40;;;E;1;F3;;40E_bk_029& 40E_bk_048;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Henut-Punt, Natron ;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_064;;40-274;;;40;;;E;1;E3;;40E_bk_030& 40E_bk_046& 40E_bk_086;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Henut-Punt, Natron ;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_066;;40-342;;;40;;;E;1;F3;;40E_bk_041;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_067;;40-424;;;40;;;E;1;A3;;40E_bk_031& 40E_bk_080;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_068;;;;;40;;;E;1;B1;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;Verrusst;;
;40E_bk_071;;;;;40;;;E;1;E3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Pipuia;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_072;;40-426;;;40;;;E;1;E3;;40E_bk_020& 40E_bk_045;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_073;;40-344;;;40;;;E;1;A1;;40E_bk_019& ;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Ray;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_074;;;;;40;;;E;1;C3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Tuiay;Neues Reich;18 Dyn;;;;;;Verrusst;;
;40E_bk_075;;;;;40;;;E;1;A1;;40E_bk_074;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Tuiay;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_077;;;;;40;;;E;1;C3;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_079;;;;;40;;;E;1;A1;;40E_bk_023;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Tuiay;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_080;;;;;40;;;E;1;B1;;40E_bk_031;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_082;;;;;40;;;E;1;E3;;40E_bk_006;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter ,Tiy;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_083;;;;;40;;;E;1;A2;;40E_bk_004;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Chat-em-ta-pet;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_086;;40-274;;;40;;;E;1;E3;;40E_bk_030& 40E_bk_046& 40E_bk_64;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Henut-Punt, Natron ;Neues Reich;18 Dyn;;;;;;;;
;40E_bk_088;;;;;40;;;E;1;E1;;40E_bk_025;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Juua;Neues Reich;18 Dyn;;;;;;;;
;40F_bk_001;;;;;40;;;F;1;A2;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Neferu-Nebu, Haus der Königskinder;Neues Reich;18 Dyn;;;;;;;;
;40F_bk_002;;;;;40;;;F;;Eingang;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Ta-wahet, Datum;Neues Reich;18 Dyn;;;;;;;;
;40F_bk_003;;;;;40;;;F;1;A2;;;;Komposit;Keramik;Gefässaufschrift;;Beschriftet;;Königstochter, Miay;Neues Reich;18 Dyn;;;;;;;;
;;324;;;;40;;;C;1;SII;;;An der Oberfläche;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;10.4;7.7;4.3;;;Verrusst;;
;;476& 477;;;;40;;;E;1;C3;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;18;13;8.4;;;;;
;;478;;;;40;;;E;1;C1;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;20.2;20.4;8.2;;;Verrusst;;
;40C_Stempel_001;545;;;;40;;;C;1;SIV;;;Süd und Mitte;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;11;11.1;6.9;;;;;
;40C_Stempel_002;546;;;;40;;;C;1;SIV;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;10.1;9;5.7;;;Verrusst;;
;40C_Stempel_003;547;;;;40;;;C;1;SIV;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;18.1;8.3;6.2;;;Verrusst;;
;40C_Stempel_004;548;;;;40;;;C;1;SIV;;;Mitte;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;10.9;9;7.5;;;Verrusst;;
;40C_Stempel_005;549;;;;40;;;C;1;SIII;;;10 cm über Boden;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;8.1;7.9;4.2;;;;;
;40C_Stempel_006;550;;;;40;;;C;1;SIII;;;10 cm über Boden;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;10;11.6;6.6;;;Verrusst;;
;40C_Stempel_007;551;;;;40;;;C;1;SIII;;;10 cm über Boden;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;12;10.4;4.9;;;Verrusst;;
;40C_Stempel_008A;552;;;;40;;;C;1;SIII;;40C_Stempel_008B;10 cm über Boden;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;20.4;20.2;;;;Verrusst;;
;40C_Stempel_008B;;;;;40;;;E;1;A1;;40C_Stempel_008A;Nordwestecke;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;20.4;20.2;;;;;;
;40E_Stempel_001;553;;;;40;;;E;1;A1;;;Nordwestecke;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;14.3;;;;;;;
;;541;;;;40;;;C;;;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;3.7;3.8;2.4;;;Verrusst;;
;;542;;;;40;;;C;;;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;4.8;5.5;3.1;;;Verrusst;;
;;554;;;;40;;;F;1;C1;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment mit Umrahmung, vermutlich des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;8.2;10.7;7.4;;;Verrusst;;
;40C-E_Stempel_001;;;;;40;;;C-E;;;;;;Komposit;Nilschlamm;Siegel;Siegelabdruck;Relief;Fragment des grossen Nekropolensiegelabdrucks;;Neues Reich;18 D;15.9;8.6;2.8;;;Verbrannt;;
;;449;;;;40;;;E;1;A3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment eines Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 1;;Neues Reich;18 D;2;2.6;1.5;;;;;
;;453a;;;;40;;;E;1;C3;;;Ostwand;Komposit;Nilton;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des Nekropolensiegels, Objektsiegel, Gruppe 1;;Neues Reich;18 D;2.8;3.4;1.7;;;;;
;;469;;;;40;;;E;1;F1;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 1, keine Brandspuren an Nilton, aber verkohlte Schnurresten;;Neues Reich;18 D;3.2;2.8;1.6;;;;;
;;473;;;;40;;;E;1;E3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegelsl, Objektsiegel, Gruppe 1;;Neues Reich;18 D;3.1;2.8;1.4;;;Verfärbung;;
;;474;;;;40;;;E;1;E1;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegelsl, Objektsiegel, Gruppe 1;;Neues Reich;18 D;3.2;3.2;1.8;;;Verfärbung;;
;;475;;;;40;;;E;1;E1;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Drei anpassende Fragmente des Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 1;;Neues Reich;18 D;1.4;2.4;1;;;;;
;;458;;;;40;;;E;1;F2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;4.3;3.4;1.7;;;;;
;;460;;;;40;;;E;1;F2;;495;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;3.8;2.3;1.6;;;;;
;;495;;;;40;;;E;1;F2;;460;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;3.8;2.3;1.6;;;;;
;;463a;;;;40;;;E;1;F3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;2.9;1.3;1.7;;;;;
;;472;;;;40;;;E;1;F1;;;Südende;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;2.6;2.8;0.9;;;;;
;;490;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;2.2;1.9;1.5;;;;;
;;496a;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;1.6;1.1;1.7;;;;;
;;496b;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2;;Neues Reich;18 D;3;1.3;1.2;;;;;
;;465;;;;40;;;E;1;E3;;602;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 2.1;;Neues Reich;18 D;;;;;;;;
;;602;;;;40;;;E;1;F1;;465;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;zwei anpassende Fragmente des Siegelabdrucks des Nekropolensiegels, Objektsiegel, Gruppe 2.1;;Neues Reich;18 D;;;;;;;;
;;496c;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 2.1;;Neues Reich;18 D;;;;;;;;
;;448;;;;40;;;E;1;A3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.8;2.3;1.3;;;;;
;;453b;;;;40;;;E;1;C3;;;Ostwand;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.8;3.4;1.7;;;;;
;;461;;;;40;;;E;1;F3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.2;2.4;1.3;;;;;
;;462;;;;40;;;E;1;F3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.2;2.3;1;;;;;
;;463;;;;40;;;E;1;F3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.9;1.3;1.7;;;;;
;;467;;;;40;;;E;1;;;;Streufund;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.8;2.5;1.2;;;Verkohlt;;
;;487;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.5;2.5;1.1;;;Verkohlt;;
;;489;;;;40;;;E;1;E2;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;1.7;2.2;0.9;;;;;
;;590;;;;40;;;E;;C3;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2;2.1;1.1;;;;;
;;592;;;;40;;;C;;SIV;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.5;2.2;0.9;;;;;
;;600;;;;40;;;E;1;E1;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;1.6;1.5;1;;;;;
;;601;;;;40;;;C;1;SIV;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragment Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.1;2.9;1.9;;;;;
;;598;;;;40;;;C;1;SIV;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.7;3.3;1.3;;;;;
;;599;;;;40;;;C;1;SIV;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragmente Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.6;2.8;1.1;;;;;
;;610;;;;40;;;C;;;;;Mit Textilien aufgefunden;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;3.1;2.6;1.5;;;Verrusst& Verfärbung;;
;;593;;;;40;;;C;;;;;Aus Siebmaterial;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Fragmente Siegelabdruck des Nekropolensiegels, Objektsiegel, Gruppe 3;;Neues Reich;18 D;2.1;1.8;0.9;;;Verrusst;;
;;250;;;;40;;;B;1;SI;;;2 m vom Durchgang zu A;Komposit;Fayence;Schmuck;Perle;Relief;Perle in Form eines Skarabäus;;Neues Reich& Dritte Zwischenzeit;;1.1;0.7;0.5;;;;;
;;253;;;;40;;;B;1;SI;;;1 m vom Durchgang zu A;Komposit;Fayence;Schmuck;Perle;Relief;zwei Perlen in Form eines Löwen (?), eine Perle in Form eines Frosches (?);;Neues Reich& Dritte Zwischenzeit;18 D;0.5& 0.6& 0.4;0.9& 0.9& 0.8;0.4;;;;;
;;258;;;;40;;;B;1;SI;;;Südhälfte;Komposit;Fayence;Schmuck;Ring;Relief;Ring mit Udjataugenmotiv;;Neues Reich;18 D;1.1;2;0.7;;;;;
;;259;;;;40;;;B;2;SI;;;1.6 m von Südwand;Komposit;Fritte;Einlage;;;Linke Augenbraueneinlage;;Neues Reich;18 D;0.5;6.3;0.5;;;;;
;;261;;;;40;;;B;3;SI;;;;Komposit;Fayence;Schmuck;Perle;Relief;Perle in Form eines Udjatauges;;Neues Reich;18 D;0.6;0.8;0.3;;;;;
;;262;;;;40;;;B;3;SI;;;;Komposit;Fayence;Schmuck;Perle ;;kauroide Form;;Neues Reich;18 D;0.8;1.3;0.5;;;;;
;;289;;;;40;;;B;3;SII;;;Nordwand Westende SII;Komposit;Fayence;Schmuck;Ring;Relief ;Ring mit Thronnamen Amenhotep III. ;;Neues Reich;18 D;1;0.9;1.2;;;;;
;;264;;;;40;;;B;3;SII& SI;;290;;Komposit;Fayence;Gefäss;Deckel;Relief ;Kohldeckel mit Thronnamen Amenhotep III.;;Neues Reich;18 D;;;0.4 - 0.5;8;1.8;;;
;;291;;;;40;;;B;4;SII;;;Westecke;Geologisch;Obsidian;Einlage;;;Augeneinlage, Iris und Pupille in einem;;Neues Reich;18 D;1.3;2.4;0.9;;;;;
;;293;;;;40;;;B& C;1& 3;SI& SII& SIII;;;Oberfläche& Mitte auf Boden& Schuttkegel im Eingang von B;Komposit;Fayence;Gefäss;;;Libationsgefäss unterer Bereich, bei Schulter abgebrochen, Dekoration in schwarz: Federmuster und Kolumne mit Thronnamen Thutmosis IV., Fragment aus C SII Abh. 1 verrusst.  ;;Neues Reich;18 D;8.2& 8.6;;;10;6.5;Verrusst;ja;
;;313;;;;40;;;C;1& 2;SI;;;Südende vor Raum F& Nordwestecke;Komposit;Nilton;Figur;Uschebti;bemalt;Uschebtis, Arbeiter und Arbeiter mit Korb (?) auf dem Kopf, weisse Grundierung und blaue Farbe, kurz gebrannt, teilweise verrusst, aber nicht alle!;;Dritte Zwischenzeit;25 D;5.1& 5;1.7& 1.6;1.6& 1.4;;;Verrusst;;
;;316;;;;40;;;C;3;SI;;;Nordende;Geologisch;Obsidian;Einlage;;;Augeneinlage, Iris und Pupille in einem Stück;;Neues Reich;18 D;1.3;2.2;0.8;;;;;
;;322;;;;40;;;C;1;SII;;;Mitte Brandschicht;Komposit;Paste;Schmuck;Skarabäus;;Netzskarabäus, Paste mit Ägyptisch Blau, Gips und Bindemittel;;Dritte Zwischenzeit;25 D;7.1;5.1;1.1;;;Verrusst;ja;
;;444;;;;40;;;D;1;E2;;;Nordende;Komposit;Wachs;Figur;;;Benu-Vogel liegend, auf einer Seite verrusst;;Dritte Zwischenzeit;22 D;2.5;3.8;1.5;;;Verrusst;;
;;445;;;;40;;;D;1;G1;;;Südostecke;Komposit;Wachs;Figur;;;Fragment eines Benu-Vogels (?), auf einer Seite verrusst ;;Dritte Zwischenzeit;22 D;1.2;3.5;1;;;Verrusst;;
;;446;;;;40;;;D;1;G1;;;;Geologisch;Alabaster;Einlage;;;Augeneinlage, Fragment der weissen Augenhaut vom rechten Auge;;Neues Reich;18 D;1.3;1.9;0.7;;;;;
;;466;;;;40;;;E;1;E3;;;;Geologisch;Alabaster;Einlage;;;Augeneinlage, Fragment der weissen Augenhaut vom linken Auge;;Neues Reich;18 D;1.1;2.1;0.8;;;;;
;;470;;;;40;;;E;1;F2;;;;Geologisch;Kalkstein;Einlage;;bemalt;zwei Augeneinlagen, Iris und Pupille aufgemalt;;Neues Reich& Dritte Zwischenzeit;;1.4;3.5;0.5;;;Verrusst;;
;;471;;;;40;;;E;1;F2;;;;Komposit;;Einlage;;;Augeneinlage?;;;;1.6;1.8;1.1;;;;;
;;480;;;;40;;;E;1;D3;;;;Botanisch;Holz;Gefäss;Kohlstab;;Schminkgriffel;;Neues Reich;18 D;10.3;;;0.5;0.8;Verrusst;;
;;484;;;;40;;;F;1;C1;;;;Komposit;Nilton;Siegel;Siegelabdruck;Relief;Siegelabdruckfragment mit Thronnamen Amenhotep III. ;;Neues Reich;18 D;1.7;1.4;0.8;;;;;
;;485;;;;40;;;F;1;C1;;;;Komposit;Fayence ;Schmuck;Perle;Relief& Abdruck;Perle in Form eines Udjatauges, Hieroglyphe auf Rückseite;;Neues Reich;18 D;0.9;1.2;0.4;;;;;
;;486;;;;40;;;C& F;1& 2;SII& A1& C1& C2& D1;;;10 cm über Boden (SII);Komposit;Fayence;Schmuck;Armreif;;Fragmente mehrerer Armreifen, Durchmesser zwischen 9 bis 11 cm;;Neues Reich;18 D;1.9 - 2.1;;0.6 - 0.7;9;11;;ja;
;;492;;;;40;;;F;1;E2;;;;Komposit;Fayence;Schmuck;Amulett;;Amulett in Form eines Falken mit Doppelkrone;;Dritte Zwischenzeit;22 D& 25 D;3.8;1.1;2.4;;;;;
;;494;;;;40;;;F;1;;;;Eingang unter Schuttschicht;Komposit;Fritte;Einlage;;;Linke Augenbraueneinlage;;Dritte Zwischenzeit? ;22 D& 25 D;0.6;5.1;0.4;;;;;
;;307;;;;64;;;A;4;SI;Westende;;;Komposit;Fayence;Schmuck;Perle;;Perle in Form einer Dattel, Element eines mehrreihigen Schmuckkragens;;Neues Reich;18 D;1.9;0.7;0.2;;;;;
;;422;;;;64;;;B;1;SI-O& SII-S;Südostecke (SI-O)& Ostwand Boden& Westwand neben Durchgang;;;Komposit;Glas;Gefäss;;;Krateriskos, Hellblaue Grundglasfarbe, blauer und gelber Zierfaden, Wandstärke zwischen 0.2-0.3 cm;;Neues Reich;18 D;5.4;;;3.2;2.1;;;
;;423;;;;64;;;B;1;SII-S;;;;Komposit;Nilton;Abdruck;Siegelabdruck;Relief;Fragment mit Hieroglyphen;;Neues Reich;18 D;;;;;;;;
;;426;;;;64;;;B;1;SII-S;;;;Komposit;Fayence;Schmuck;Amulett;;sitzende Figur mit langem Gewand und Doppelkrone gehören vermutlich zum selben Objekt einer sitzenden Mut;;;;2.4& 1.1;1.0& 0.6;1.65& 0.5;;;;;
;;428;;;;64;;;B;1;SII-N;Nordostecke, hinter Mumie;;;Geologisch;Alabaster& Obsidian;Einlage;;;Augeneinlage, linkes Auge, Tränenkarunkel rot aufgemalt;;Neues Reich;18 D;1.3;4;1.4;;;;;
;;429;;;;64;;;B;2;SII-N;Westwand;;;Komposit;Fayence ;Schmuck;Aufsteckelement;;Kobrakopf;;Neues Reich;18 D;1.4;2.3;2.7;;;;;
;64_Stein_2;;;;;64;;;B;1;SII-S;;;;Geologisch;Serpentin;Gefäss;;;Randfragment eines Steingefässes, grüner Serpentin mit schwarzen Adern;;Neues Reich;18 D;;;;5;;;;
;64_Fritte_1;;;;;64;;;B;1;SII-S;;;;Komposit;Glas;Gefäss;;;Glasfragment, dunkelblaues opakes Glas, vermutlich Amphoriskos, Wandstärke zwischen 0.4-0.5 cm;;Neues Reich;18 D;2.6;2;;;;;;
;64_Fritte_2;;;;;64;;;B;1;SII-N;;;;Komposit;Glas;Schmuck;;;spiralförmiger Stab aus dunkelblauem opakem Glas;;Neues Reich;18 D;1.3;;;0.35;;;;
;64_Malachit_1;;;;;64;;;B;1;SII-S;;;;Geologisch;Feldspat;Schmuck;Perle;;Perlenfragment, grüner Feldspat;;;;1.3;;;1.2;;;;
;64_Fayence_1;;;;;64;;;B;1;SII-N;Osten;;;Komposit;Fayence;Einlage;;;Möbeleinlage? ;;;;2.2;2.5;0.4;;;;;
;64_Fayence_2;;;;;64;;;B;1;SII-S;;;;Komposit;Fayence;Einlage;;;Möbeleinlage? ;;;;2.6;1.5;0.3;;;;;
;64_Fayence_3;;;;;64;;;B;1;SII-S;;;;Komposit;Fayence;Einlage;;;Möbeleinlage?;;;;1.3& 2.2;0.7& 1.2;0.3& 0.2;;;;;
;64_Fayence_4;;;;;64;;;B;1;SII-S;;;;Komposit;Fayence;Figur;Uschebti;;mehrere Fragmente eines Uschebtis?;;;;1.8;1;0.4;;;;;
;64_Stein_1;;;;;64;;;B;1;SII-N;;;;Geologisch;Quarzit;;;;Steinfragment;;;;1.4;1.1;0.8;;;;;
;64_Stein_3;;;;;64;;;B;1;SII-N;Nordostecke auf Mumienhöhe;;;Geologisch;Grauwacke;;;;Fragment Grauwacke;;;;1.2;1.1;0.6;;;;;
;64_Stein_4;;;;;64;;;B;1;SII-S;;;;Geologisch;Kalkstein;;;;Fragment Gefässrand? ;;;;1.8;2.3;0.4-0.7;;;;;
;;479;;;;40;;;D;1;C1;;;;Botanisch;Holz;Gefässaufschrift;;;fragment, maybe part of a wooden tag;;Neues Reich;18 D;5.2;1.5;0.1;;;;;
;;240;;;;40;;;A;5;SI;;;;Botanisch;Holz;Gefässaufschrift;;;wooden label, type stelae, pierced, broken;;Neues Reich;18 D;5.3;3.6;0.6;;;;;
;;249;;;;40;;;A;4;SI;;;;Botanisch;Holz;Gefässaufschrift;;;wooden label, type stelae, pierced;;Neues Reich;18 D;11.6;4.3;0.6;;;;;
;;266;;;;40;;;B;2;SI;;;;Botanisch;Holz;Gefässaufschrift;;;wooden label, type stelae, pierced;;Neues Reich;18 D;8.1;2.0;0.5;;;Verrusst;;
